2024-06-27 19:50:57 - Solicitud a  por el usuario con ID: 5 - admin - socio
2024-06-27 22:43:23 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 7 - juancito - cervecero
2024-06-29 08:13:54 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:16:02 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:16:33 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:18:58 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:19:22 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:20:14 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:21:15 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 08:38:36 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 7 - juancito - cervecero
2024-06-29 08:39:02 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:40:53 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:41:45 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:43:56 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:44:38 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:45:36 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:46:35 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:48:18 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 6 - quiquique - bartender
2024-06-29 08:50:24 - Solicitud a /2024C1/TP/app/usuarios/asignar_item por el usuario con ID: 2 - barri - cocinero
2024-06-29 16:13:07 - Solicitud a /2024C1/TP/app/usuarios/socios/cerrar_mesa por el usuario con ID: 5 - admin - socio
2024-06-29 16:14:46 - Solicitud a /2024C1/TP/app/usuarios/socios/cerrar_mesa por el usuario con ID: 5 - admin - socio
2024-06-29 16:53:23 - Solicitud a /2024C1/TP/app/clientes/encuesta por el usuario con ID: 5 - admin - socio
2024-06-29 17:08:28 - Solicitud a /2024C1/TP/app/mesas/mostrar_todas por el usuario con ID: 5 - admin - socio
2024-06-29 17:09:22 - Solicitud a /2024C1/TP/app/mesas/mas_usada por el usuario con ID: 5 - admin - socio
2024-06-29 17:41:15 - Solicitud a /2024C1/TP/app/mesas/mas_usada por el usuario con ID: 5 - admin - socio
2024-06-29 17:41:51 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:43:33 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:44:07 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:44:12 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:44:18 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:44:28 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:44:34 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-29 17:50:31 - Solicitud a /2024C1/TP/app/usuarios/socios/mejor_comentario por el usuario con ID: 5 - admin - socio
2024-06-30 08:01:32 - Solicitud a /2024C1/TP/app/usuarios/ por el usuario con ID: 5 - admin - socio
2024-06-30 09:00:50 - Solicitud a /2024C1/TP/app/usuarios/ por el usuario con ID: 5 - admin - socio
2024-06-30 09:01:18 - Solicitud a /2024C1/TP/app/usuarios/ por el usuario con ID: 5 - admin - socio
2024-06-30 09:01:35 - Solicitud a /2024C1/TP/app/usuarios/ por el usuario con ID: 5 - admin - socio
2024-06-30 09:25:05 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:26:15 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:27:35 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:27:51 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:28:27 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:38:34 - Solicitud a /2024C1/TP/app/pedidos/all por el usuario con ID: 9 - admin2 - socio
2024-06-30 09:41:36 - Solicitud a /2024C1/TP/app/productos/csv por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:28:34 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:29:03 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:29:40 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:29:41 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:29:42 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:30:06 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:30:18 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:30:34 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:30:55 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:31:37 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:40:01 - Solicitud a /2024C1/TP/app/mesas/ por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:40:57 - Solicitud a /2024C1/TP/app/mesas/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:41:11 - Solicitud a /2024C1/TP/app/mesas/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:41:27 - Solicitud a /2024C1/TP/app/mesas/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:41:37 - Solicitud a /2024C1/TP/app/productos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:42:37 - Solicitud a /2024C1/TP/app/mesas/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:42:47 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 10:43:23 - Solicitud a /2024C1/TP/app/mesas/mostrar/todas por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:10:41 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:11:16 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:11:21 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:11:44 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:16:43 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:17:50 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:18:37 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:21:59 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:22:47 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:26:17 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:26:47 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:27:06 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:32:05 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:32:16 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:33:05 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:34:18 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:34:29 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:35:48 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:35:56 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:05 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:17 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:25 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:33 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:37 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:36:55 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:37:05 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:37:15 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:38:44 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:38:59 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:39:22 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:39:35 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:39:45 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:40:15 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:40:31 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:40:40 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 11:40:50 - Solicitud a /2024C1/TP/app/usuarios/socios/PDF/mejor_comentario por el usuario con ID: 9 - admin2 - socio
2024-06-30 12:42:17 - Solicitud a /2024C1/TP/app/pedidos/ por el usuario con ID: 9 - admin2 - socio
2024-06-30 12:43:51 - Solicitud a /2024C1/TP/app/pedidos/ por el usuario con ID: 9 - admin2 - socio
2024-06-30 12:47:56 - Solicitud a /2024C1/TP/app/pedidos/ por el usuario con ID: 9 - admin2 - socio
2024-06-30 13:03:41 - Solicitud a /2024C1/TP/app/pedidos/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 13:11:25 - Solicitud a /2024C1/TP/app/pedidos/all por el usuario con ID: 9 - admin2 - socio
2024-06-30 13:26:59 - Solicitud a /2024C1/TP/app/pedidos/cancelar por el usuario con ID: 9 - admin2 - socio
2024-06-30 15:53:16 - Solicitud a /2024C1/TP/app/itemspedidos/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 15:54:27 - Solicitud a /2024C1/TP/app/itemspedidos/modificar por el usuario con ID: 9 - admin2 - socio
2024-06-30 15:55:08 - Solicitud a /2024C1/TP/app/itemspedidos/borrar por el usuario con ID: 9 - admin2 - socio
2024-06-30 16:16:09 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 9 - admin2 - socio
2024-06-30 16:16:49 - Solicitud a /2024C1/TP/app/itemspedidos/ por el usuario con ID: 9 - admin2 - socio
